0  4575.76 1.69473 7.62753 -82.3206  4575.51 1.6844 7.41481 416.608  4571.64 1.68528 7.6385 -76.9065  4574.65 1.6821 7.41845 412.051  
1  4573.61 1.69886 7.20863 -82.9542  4576.38 1.69414 6.97236 411.501  4573.84 1.69747 7.18883 -83.0298  4579.1 1.69922 6.9542 407.749  
2  4578.73 1.72113 6.99415 -88.0196  4584.46 1.71846 6.79303 411.69  4580.76 1.72365 6.9766 -88.8272  4583.65 1.70985 6.7497 414.959  
3  4572.81 1.69231 7.68985 -80.9153  4571.58 1.6797 7.48606 418.035  4564.86 1.67501 7.73262 -71.2072  4575.64 1.69509 7.44834 406.26  
4  4574.69 1.70371 7.77686 -83.7256  4574.56 1.69637 7.57307 417.893  4567.92 1.68701 7.79589 -76.39  4570.65 1.68665 7.58336 413.137  
5  4567.97 1.68757 7.7281 -76.9199  4573.45 1.69589 7.49382 410.922  4567.54 1.68413 7.68773 -75.6778  4574.43 1.69626 7.4736 408.499  
6  4565.68 1.68174 7.59767 -76.422  4573.78 1.69487 7.34991 407.818  4565.78 1.68044 7.57324 -75.8729  4572.58 1.68866 7.33553 408.051  
7  4577.9 1.72749 6.997 -86.6094  4584.57 1.72321 6.77205 413.025  4578.46 1.72074 6.95141 -88.0854  4583.68 1.71796 6.74679 410.3  
8  4564.12 1.67785 7.7616 -72.6934  4568.99 1.68408 7.52792 410.357  4568.9 1.68482 7.70625 -77.0827  4570.45 1.6834 7.50722 413.337  
9  4569.12 1.69249 7.9094 -77.6343  4575.1 1.7031 7.66975 412.083  4568.71 1.6895 7.88765 -76.1457  4575.02 1.70119 7.65129 410.76  
10  4574.88 1.70787 7.48916 -87.292  4580.52 1.71362 7.25778 413.298  4578.3 1.71911 7.47515 -89.3128  4581.04 1.71199 7.23921 418.83  
11  4568.95 1.68101 7.5747 -76.4651  4576.49 1.69284 7.31791 408.232  4570.62 1.68229 7.54153 -76.9601  4575.31 1.68429 7.31323 410.674  
12  4573.61 1.6951 7.3284 -82.305  4581.31 1.7037 7.07009 407.053  4578.01 1.70328 7.27835 -85.0378  4584.42 1.70823 7.03113 408.77  
13  4572.33 1.69199 7.6634 -81.5162  4576.31 1.69334 7.4158 415.159  4569.78 1.68568 7.66813 -77.7445  4577.52 1.6964 7.40788 410.474  
14  4570.19 1.69249 7.54635 -82.696  4578.85 1.70944 7.30658 408.006  4575.32 1.70192 7.48464 -87.369  4581.22 1.71018 7.28278 411.406  
15  4576.9 1.70689 7.22558 -86.4697  4581.21 1.70473 6.9974 412.098  4574.29 1.699 7.23157 -83.4008  4578.71 1.69722 6.99726 410.218  
