0  2807.5 1.3 60 0  2990 1.27 60 0  2954 1.29 60 0  2986 1.23 60 0  
1  51 0.81 60 0  2990 1.27 60 0  37.5 0.81 60 0  2986 1.23 60 0  
2  2189.5 1.28 60 0  2957 1.24 60 0  2165.5 1.26 60 0  2951 1.28 60 0  
3  2330 1.31 60 0  2990 1.26 60 0  2345.5 1.32 60 0  2993 1.23 60 0  
4  2089 1.25 60 0  2990 1.27 60 0  2198.5 1.28 60 0  2993 1.23 60 0  
5  2395.5 1.34 60 0  2998 1.27 60 0  2262.5 1.29 60 0  2970 1.27 60 0  
6  2217.5 1.28 60 0  2998 1.28 60 0  2212 1.28 60 0  2970 1.3 60 0  
7  2342.5 1.32 60 0  2984.5 1.3 60 0  2210.5 1.28 60 0  2959 1.3 60 0  
8  2323.5 1.31 60 0  2990 1.26 60 0  2308 1.3 60 0  2987.5 1.27 60 0  
9  2282.5 1.29 60 0  2990 1.3 60 0  2222 1.28 60 0  2987.5 1.3 60 0  
10  2191.5 1.28 60 0  2978 1.23 60 0  2201.5 1.28 60 0  2967.5 1.3 60 0  
11  2396 1.34 60 0  2999.5 1.28 60 0  2283 1.29 60 0  2978.5 1.3 60 0  
12  2239.5 1.29 60 0  2999.5 1.3 60 0  2197 1.28 60 0  2978.5 1.31 60 0  
13  2404 1.34 60 0  3002.5 1.3 60 0  2264.5 1.29 60 0  2971.5 1.24 60 0  
14  2363 1.32 60 0  3002.5 1.29 60 0  2237.5 1.28 60 0  2971.5 1.23 60 0  
15  2199 1.28 60 0  2992.5 1.29 60 0  2274.5 1.29 60 0  2974.5 1.23 60 0  
16  2315 1.3 60 0  2989.5 1.25 60 0  2302 1.3 60 0  2988 1.26 60 0  
17  2241.5 1.28 60 0  2989.5 1.24 60 0  2226 1.28 60 0  2988 1.28 60 0  
18  2332 1.31 60 0  2991 1.23 60 0  2147.5 1.26 60 0  2966 1.23 60 0  
19  2218 1.28 60 0  2991 1.23 60 0  2255.5 1.29 60 0  2971.5 1.28 60 0  
20  2207.5 1.28 60 0  2962 1.27 60 0  2189.5 1.28 60 0  2971.5 1.29 60 0  
21  2288.5 1.3 60 0  2969.5 1.3 60 0  2250.5 1.29 60 0  2958 1.3 60 0  
22  2364.5 1.32 60 0  2992 1.3 60 0  2388 1.34 60 0  2998 1.3 60 0  
23  2142 1.26 60 0  2992 1.23 60 0  2160 1.26 60 0  2998 1.26 60 0  
24  2225.5 1.28 60 0  2969 1.23 60 0  2326 1.31 60 0  2986.5 1.28 60 0  
25  2401.5 1.34 60 0  2995.5 1.31 60 0  2428.5 1.36 60 0  3001.5 1.3 60 0  
26  2189 1.28 60 0  2995.5 1.3 60 0  2263.5 1.29 60 0  3001.5 1.31 60 0  
27  2181.5 1.28 60 0  2958 1.27 60 0  2258.5 1.29 60 0  2972.5 1.23 60 0  
28  2248 1.29 60 0  2962.5 1.27 60 0  2235.5 1.28 60 0  2972.5 1.3 60 0  
29  2296.5 1.3 60 0  2983 1.27 60 0  2353 1.32 60 0  2993 1.28 60 0  
30  2256.5 1.29 60 0  2983 1.3 60 0  2365.5 1.32 60 0  2993 1.3 60 0  
31  2410 1.34 60 0  2995 1.24 60 0  2259.5 1.29 60 0  2992 1.3 60 0  
32  2096 1.25 60 0  2995 1.26 60 0  2256.5 1.29 60 0  2979.5 1.26 60 0  
33  2183.5 1.28 60 0  2961.5 1.29 60 0  2168 1.26 60 0  2979.5 1.23 60 0  
34  2154 1.26 60 0  2961.5 1.26 60 0  2113.5 1.25 60 0  2957.5 1.27 60 0  
35  2233.5 1.28 60 0  2975.5 1.23 60 0  2115 1.26 60 0  2952.5 1.27 60 0  
36  2190 1.28 60 0  2975.5 1.3 60 0  2321.5 1.31 60 0  2984 1.27 60 0  
37  2254.5 1.29 60 0  2975 1.28 60 0  2173.5 1.27 60 0  2984 1.27 60 0  
38  2285.5 1.29 60 0  2981 1.27 60 0  2156.5 1.26 60 0  2953.5 1.25 60 0  
39  2205 1.28 60 0  2981 1.25 60 0  2166 1.26 60 0  2966 1.26 60 0  
40  2104.5 1.25 60 0  2974 1.26 60 0  2093.5 1.25 60 0  2966 1.26 60 0  
41  2148 1.26 60 0  2956.5 1.26 60 0  2169 1.27 60 0  2952 1.27 60 0  
42  2100 1.25 60 0  2948.5 1.27 60 0  2266.5 1.29 60 0  2980 1.27 60 0  
43  2202 1.28 60 0  2964.5 1.23 60 0  2202 1.28 60 0  2980 1.23 60 0  
44  2240 1.28 60 0  2969 1.27 60 0  2243.5 1.28 60 0  2968.5 1.23 60 0  
45  2294 1.29 60 0  2982.5 1.23 60 0  2187 1.28 60 0  2968.5 1.27 60 0  
46  2198.5 1.28 60 0  2982.5 1.27 60 0  2172 1.27 60 0  2962.5 1.26 60 0  
